Frequency/GHz	 Amplitude rel. 2	 Phase 2	 Ref.Amplitude rel. 2	 Ref.Phase 2
287.0	0.4184496	41.27196	0.5035438	35.6361
288.0	0.4192177	41.40122	0.503901	35.72359
289.0	0.4199363	41.53033	0.5042545	35.81063
290.0	0.4206087	41.65929	0.5046358	35.89724
291.0	0.4212393	41.78807	0.5050742	35.98343
292.0	0.4218333	41.91667	0.5055954	36.06925
293.0	0.4223966	42.04508	0.5062215	36.15475
294.0	0.422936	42.17328	0.50697	36.23996
295.0	0.423459	42.30126	0.5078535	36.32494
296.0	0.4239733	42.42902	0.5088798	36.40975
297.0	0.4244873	42.55656	0.5100518	36.49443
298.0	0.4250096	42.68388	0.5113679	36.57904
299.0	0.4255488	42.81098	0.5128218	36.66362
300.0	0.4261132	42.93788	0.5144039	36.74821
301.0	0.4267112	43.06457	0.5161015	36.83285
302.0	0.4273504	43.19107	0.5178994	36.91757
303.0	0.4280381	43.3174	0.5197811	37.00238
304.0	0.4287807	43.44358	0.5217294	37.08729
305.0	0.4295836	43.56962	0.5237271	37.17232
306.0	0.4304514	43.69555	0.5257579	37.25746
307.0	0.4313874	43.82138	0.5278071	37.34269
308.0	0.4323937	43.94715	0.5298618	37.42801
309.0	0.4334714	44.07288	0.5319117	37.5134
310.0	0.4346201	44.19858	0.5339493	37.59884
311.0	0.4358383	44.3243	0.5359698	37.6843
312.0	0.4371234	44.45004	0.5379714	37.76978
313.0	0.4384714	44.57583	0.5399551	37.85524
314.0	0.4398776	44.70168	0.5419245	37.94068
315.0	0.4413362	44.82763	0.5438853	38.02607
316.0	0.4428406	44.95367	0.545845	38.11141
317.0	0.4443836	45.07983	0.5478123	38.1967
318.0	0.4459577	45.20611	0.5497966	38.28192
319.0	0.4475547	45.33252	0.5518074	38.36709
320.0	0.4491667	45.45907	0.5538535	38.45221
321.0	0.4507854	45.58575	0.555943	38.5373
322.0	0.4524029	45.71257	0.5580821	38.62237
323.0	0.4540115	45.83952	0.5602751	38.70744
324.0	0.4556039	45.9666	0.562524	38.79253
325.0	0.4571735	46.09379	0.564828	38.87766
326.0	0.4587141	46.2211	0.567184	38.96286
327.0	0.4602204	46.3485	0.5695858	39.04815
328.0	0.4616879	46.47598	0.5720249	39.13353
329.0	0.4631126	46.60354	0.5744905	39.21904
330.0	0.4644918	46.73116	0.5769698	39.30467
331.0	0.4658232	46.85883	0.5794485	39.39044
332.0	0.4671056	46.98652	0.5819112	39.47635
333.0	0.4683386	47.11423	0.5843422	39.5624
334.0	0.4695224	47.24195	0.5867258	39.64857
335.0	0.4706579	47.36966	0.589047	39.73486
336.0	0.4717468	47.49734	0.5912922	39.82125
337.0	0.4727911	47.62499	0.5934493	39.90772
338.0	0.4737934	47.7526	0.5955085	39.99425
339.0	0.4747568	47.88016	0.5974626	40.0808
340.0	0.4756844	48.00765	0.5993071	40.16736
341.0	0.4765797	48.13508	0.6010407	40.2539
342.0	0.4774462	48.26244	0.6026651	40.34038
343.0	0.4782876	48.38972	0.604185	40.42678
344.0	0.4791074	48.51692	0.6056081	40.51307
345.0	0.479909	48.64404	0.6069448	40.59924
346.0	0.4806957	48.77109	0.6082079	40.68526
347.0	0.4814706	48.89805	0.609412	40.77112
348.0	0.4822365	49.02493	0.6105733	40.85682
349.0	0.482996	49.15173	0.6117089	40.94233
350.0	0.4837513	49.27845	0.6128362	41.02768
351.0	0.4845044	49.40511	0.6139725	41.11285
352.0	0.4852571	49.53169	0.6151343	41.19787
353.0	0.4860108	49.65822	0.6163366	41.28274
354.0	0.4867667	49.78468	0.6175927	41.36748
355.0	0.4875257	49.91108	0.6189137	41.45212
356.0	0.4882888	50.03743	0.6203082	41.53668
357.0	0.4890566	50.16373	0.6217817	41.62118
358.0	0.4898296	50.28999	0.6233373	41.70565
359.0	0.4906086	50.41621	0.6249747	41.79012
360.0	0.4913939	50.54239	0.6266911	41.8746
361.0	0.4921861	50.66854	0.6284811	41.95913
362.0	0.4929859	50.79467	0.6303369	42.04371
363.0	0.4937939	50.92077	0.632249	42.12837
364.0	0.4946109	51.04685	0.6342065	42.21311
365.0	0.4954378	51.17291	0.6361974	42.29794
366.0	0.4962755	51.29896	0.6382096	42.38288
367.0	0.4971251	51.42501	0.640231	42.4679
368.0	0.4979879	51.55105	0.6422503	42.55302
369.0	0.498865	51.67709	0.6442573	42.63821
370.0	0.4997579	51.80315	0.6462432	42.72348
371.0	0.5006677	51.92921	0.6482016	42.8088
372.0	0.5015959	52.05529	0.6501278	42.89416
373.0	0.5025437	52.18139	0.6520197	42.97955
374.0	0.5035122	52.30752	0.6538778	43.06494
375.0	0.5045024	52.43369	0.6557048	43.15032
376.0	0.5055153	52.5599	0.6575058	43.23568
377.0	0.5065513	52.68615	0.6592883	43.321
378.0	0.5076109	52.81245	0.6610614	43.40627
379.0	0.508694	52.93882	0.6628355	43.49149
