freq(GHz)	real_ε	real_ε_SG_filtered	real_ε_SG_filtered+RA	loss_T	loss_T_SG_filtered	loss_T_SG_filtered+RA
86.95	2.793719601	2.7987033023282013	2.798714390012316	0.006535512	0.0063908812919806065	0.006386031108122621
87.0	2.795441718	2.798677120878068	2.798687934121311	0.005320237	0.006399787426123838	0.006394851569236129
87.05	2.797976534	2.7986502968427174	2.798660929881511	0.004974688	0.006408557975968791	0.006403542953149077
87.1	2.799169258	2.79862270712688	2.798633256930344	0.005493305	0.006417154437327866	0.006412069676392562
87.15	2.798879431	2.7985942384561744	2.7986048033867705	0.005759833	0.006425536025235867	0.006420393789871794
87.2	2.798547972	2.7985647889010306	2.7985754673805934	0.005685244	0.006433660117861405	0.006428475386427743
87.25	2.799091266	2.7985342692480155	2.79854515844449	0.005019216	0.006441482722985273	0.006436273032862291
87.3	2.803267581	2.798502604205561	2.798513798755267	0.004931931	0.0064489589610681845	0.006443744220855698
87.35	2.802659608	2.798469733433248	2.79848132421279	0.0065109	0.006456043558795515	0.0064508458310383225
87.4	2.802782414	2.7984356123860348	2.798447685347181	0.006807472	0.006462691346930084	0.006457534604386311
87.45	2.801913152	2.79840021296717	2.798412848047019	0.007011078	0.006468857756326095	0.006463767615093673
87.5	2.803904054	2.7983635239858384	2.7983767941034996	0.007030644	0.006474499306057895	0.006469502739130604
87.55	2.801952192	2.7983255514179475	2.79833952156773	0.008532108	0.00647957407779504	0.006474699112828358
87.6	2.796012243	2.7982863184707893	2.7983010449205517	0.008393494	0.006484042170807747	0.006479317576032086
87.65	2.796001631	2.798245865454554	2.7982613950564423	0.007102532	0.006487866132309488	0.006483321094631252
87.7	2.796539452	2.798204249465834	2.7982206190851557	0.006864581	0.006491011358230729	0.006486675157607752
87.75	2.798217737	2.798161543890321	2.798178779956765	0.006699018	0.006493446459962804	0.006489348144129307
87.8	2.798016665	2.7981178377337814	2.7981359559176635	0.007676596	0.0064951435931054555	0.006491311656653705
87.85	2.794755356	2.7980732347921533	2.798092239806821	0.007337934	0.006496078744787184	0.00649254081649078
87.9	2.795301972	2.798027852673165	2.7980477382032163	0.006853665	0.006496231976695076	0.0064930145187865355
87.95	2.79519987	2.7979818216832664	2.7980025704367657	0.006168186	0.006495587621541658	0.006492715644439244
88.0	2.795839968	2.7979352835948217	2.797956867476352	0.005462537	0.0064941344313018574	0.006491631227023382
88.05	2.799323148	2.7978883903095255	2.7979107707095805	0.0048454	0.006491865676165802	0.0064897525733755585
88.1	2.802135476	2.797841302434738	2.797864430629794	0.005829236	0.006488779193765307	0.00648707533707991
88.15	2.801374737	2.797794187790052	2.797818005446509	0.007732042	0.006484877388836574	0.006483599544671306
88.2	2.794997694	2.7977472198616953	2.7977716596359317	0.007829432	0.006480167184072103	0.00647932957494632
88.25	2.79493285	2.7977005762226077	2.7977255624484565	0.006790004	0.006474659923484569	0.006474274092327701
88.3	2.795168077	2.797654436935914	2.797679886390134	0.006183621	0.006468371230148978	0.006468445935761844
88.35	2.79622963	2.7976089829593027	2.797634805694972	0.006020743	0.00646132082070114	0.006461861965134659
88.4	2.798303301	2.7975643945673916	2.797590494804605	0.005589434	0.006453532279445212	0.0064545428676639535
88.45	2.797311886	2.7975208498085133	2.797547126871414	0.006848731	0.006445032795355481	0.006446512927160612
88.5	2.794988906	2.7974785230116046	2.79750487230049	0.006187109	0.00643585286564327	0.0064377997594422965
88.55	2.796033533	2.7974375833579015	2.7974638973450316	0.005550391	0.006426025969893958	0.006428434017527622
88.6	2.798181107	2.797398193531065	2.797424362768818	0.005306994	0.006415588219058253	0.0064184490705324684
88.65	2.798611638	2.7973605084581448	2.7973864225882976	0.005784176	0.006404577983803155	0.0064078806604302135
88.7	2.798883327	2.797324674152457	2.797350222905652	0.005798985	0.006393035506888941	0.006396766541022138
88.75	2.798822665	2.797290826668025	2.7973159008428814	0.006178063	0.00638100250433783	0.006385146103591538
88.8	2.800502551	2.797259091173773	2.797283583585609	0.006161142	0.0063685217601974434	0.006373059993784798
88.85	2.799215791	2.797229581154101	2.7972533875438694	0.007414098	0.0063556367196785915	0.006360549724275004
88.9	2.796786452	2.797202397740937	2.797225417635684	0.006903484	0.0063423910853644475	0.0063476572877200306
88.95	2.79746448	2.7971776291808057	2.7971997666977457	0.007457727	0.006328828421049493	0.00633442477442908
89.0	2.796311802	2.7971553504388784	2.797176515026061	0.007168757	0.006314991767575874	0.006320893999002192
