Frequency/GHz, Amplitude rel., Phase
  2130.0,  7.390315E-3,   159.29368
  2140.0,  7.166601E-3,   160.02631
  2150.0,  6.942392E-3,   160.76928
  2160.0,  6.647678E-3,   161.50125
  2170.0,  6.458866E-3,   162.21686
  2180.0,  6.342957E-3,   162.94880
  2190.0,  6.093914E-3,   163.68754
  2200.0,  5.828688E-3,   164.40833
  2210.0,  5.643916E-3,   165.13633
  2220.0,  5.390908E-3,   165.87519
  2230.0,  5.143556E-3,   166.59846
  2240.0,  5.019132E-3,   167.32927
  2250.0,  4.848950E-3,   168.08137
  2260.0,  4.599167E-3,   168.81575
  2270.0,  4.446365E-3,   169.52800
  2280.0,  4.376803E-3,   170.25273
  2290.0,  4.268666E-3,   170.99040
  2300.0,  4.116598E-3,   171.72794
  2310.0,  3.939499E-3,   172.46574
  2320.0,  3.739592E-3,   173.20249
  2330.0,  3.536454E-3,   173.93550
  2340.0,  3.347577E-3,   174.66384
  2350.0,  3.190546E-3,   175.38619
  2360.0,  3.078330E-3,   176.10608
  2370.0,  2.998012E-3,   176.82993
  2380.0,  2.913754E-3,   177.55794
  2390.0,  2.807905E-3,   178.27632
  2400.0,  2.732769E-3,   178.97781
  2410.0,  2.711937E-3,   179.69149
  2420.0,  2.655592E-3,   180.43000
  2430.0,  2.547534E-3,   181.16186
  2440.0,  2.470954E-3,   181.88817
  2450.0,  2.393903E-3,   182.63467
  2460.0,  2.269825E-3,   183.37237
  2470.0,  2.190006E-3,   184.08146
  2480.0,  2.175412E-3,   184.80321
  2490.0,  2.137180E-3,   185.54105
  2500.0,  2.075868E-3,   186.26666
  2510.0,  2.021367E-3,   186.98531
  2520.0,  1.963777E-3,   187.70060
  2530.0,  1.923150E-3,   188.41425
  2540.0,  1.890630E-3,   189.14640
  2550.0,  1.830392E-3,   189.88864
  2560.0,  1.768843E-3,   190.62369
  2570.0,  1.725363E-3,   191.36378
  2580.0,  1.675911E-3,   192.11003
  2590.0,  1.619256E-3,   192.84831
  2600.0,  1.567776E-3,   193.57398
  2610.0,  1.535872E-3,   194.29307
  2620.0,  1.508526E-3,   195.03048
  2630.0,  1.424272E-3,   195.77433
  2640.0,  1.319763E-3,   196.46198
  2650.0,  1.313194E-3,   197.12567
  2660.0,  1.348658E-3,   197.86346
  2670.0,  1.317021E-3,   198.63539
  2680.0,  1.263142E-3,   199.37713
  2690.0,  1.240454E-3,   200.11527
  2700.0,  1.208257E-3,   200.86636
  2710.0,  1.165435E-3,   201.59499
  2720.0,  1.148947E-3,   202.31228
  2730.0,  1.134381E-3,   203.04383
  2740.0,  1.109573E-3,   203.76879
  2750.0,  1.099037E-3,   204.49806
  2760.0,  1.070231E-3,   205.25298
  2770.0,  1.006934E-3,   205.98529
  2780.0,  9.789218E-4,   206.67717
  2790.0,  9.981104E-4,   207.40412
