Frequency/GHz, Amplitude rel., Phase
  3580.0,  2.440077E-2,   129.60711
  3590.0,  2.354385E-2,   129.96744
  3600.0,  2.256307E-2,   130.29288
  3610.0,  2.278102E-2,   130.61616
  3620.0,  2.288405E-2,   130.98341
  3630.0,  2.273435E-2,   131.34345
  3640.0,  2.258284E-2,   131.73592
  3650.0,  2.089191E-2,   132.11002
  3660.0,  2.030172E-2,   132.39161
  3670.0,  2.131747E-2,   132.75193
  3680.0,  2.064175E-2,   133.15367
  3690.0,  1.979315E-2,   133.48905
  3700.0,  1.977767E-2,   133.83595
  3710.0,  1.946206E-2,   134.19523
  3720.0,  1.926976E-2,   134.54468
  3730.0,  1.921853E-2,   134.90286
  3740.0,  1.918742E-2,   135.27129
  3750.0,  1.892922E-2,   135.65176
  3760.0,  1.841635E-2,   136.02591
  3770.0,  1.786119E-2,   136.39375
  3780.0,  1.734652E-2,   136.75426
  3790.0,  1.686186E-2,   137.12784
  3800.0,  1.569975E-2,   137.48876
  3810.0,  1.503353E-2,   137.77190
  3820.0,  1.574197E-2,   138.09407
  3830.0,  1.597011E-2,   138.48360
  3840.0,  1.571300E-2,   138.85874
  3850.0,  1.551886E-2,   139.23624
  3860.0,  1.507450E-2,   139.61502
  3870.0,  1.463758E-2,   139.98271
  3880.0,  1.419566E-2,   140.35385
  3890.0,  1.365908E-2,   140.71712
  3900.0,  1.322839E-2,   141.07187
  3910.0,  1.284978E-2,   141.42777
  3920.0,  1.253926E-2,   141.77485
  3930.0,  1.252689E-2,   142.13077
  3940.0,  1.239293E-2,   142.51819
  3950.0,  1.197836E-2,   142.89804
  3960.0,  1.164407E-2,   143.28047
  3970.0,  1.093894E-2,   143.66726
  3980.0,  1.030437E-2,   143.99923
  3990.0,  1.025041E-2,   144.35214
  4000.0,  9.828480E-3,   144.74621
  4010.0,  9.119154E-3,   145.10726
  4020.0,  8.493292E-3,   145.43875
  4030.0,  8.106367E-3,   145.73358
  4040.0,  8.188545E-3,   146.04640
  4050.0,  8.160755E-3,   146.40122
  4060.0,  8.034922E-3,   146.74182
  4070.0,  8.033967E-3,   147.09151
  4080.0,  7.917795E-3,   147.44864
  4090.0,  7.869799E-3,   147.79416
  4100.0,  7.877158E-3,   148.16074
  4110.0,  7.717048E-3,   148.52754
  4120.0,  7.620899E-3,   148.88320
  4130.0,  7.492708E-3,   149.24681
  4140.0,  7.446511E-3,   149.59047
  4150.0,  7.612925E-3,   149.97808
  4160.0,  7.229920E-3,   150.38931
  4170.0,  6.855067E-3,   150.70867
  4180.0,  7.089036E-3,   151.06322
  4190.0,  6.951733E-3,   151.47461
  4200.0,  6.670523E-3,   151.84631
  4210.0,  6.433540E-3,   152.22798
  4220.0,  6.036534E-3,   152.57506
  4230.0,  6.004299E-3,   152.89780
  4240.0,  6.010778E-3,   153.27058
  4250.0,  5.899220E-3,   153.63186
  4260.0,  5.921385E-3,   153.99995
  4270.0,  5.860527E-3,   154.38933
  4280.0,  5.748939E-3,   154.77280
  4290.0,  5.628151E-3,   155.16284
  4300.0,  5.428742E-3,   155.55268
  4310.0,  5.192327E-3,   155.93099
