Freq_Hz,S11_mag_Mean,S11_phase_Mean,S21_mag_Mean,S21_phase_Mean,S12_mag_Mean,S12_phase_Mean,S22_mag_Mean,S22_phase_Mean
555333333333.333,0.17046135696638,-162.49543800919,0.626218702147026,-42.0531408085121,0.626931845824594,-36.1723562675974,0.166359371487312,166.950245789165
555666666666.667,0.165749458720771,-164.122790708691,0.623744608063063,-44.1236865799052,0.624731323060821,-38.1592897401836,0.171699541988282,169.483257223825
556000000000,0.170681672716945,-165.712097670464,0.62081329615225,-46.0241446961698,0.621991119032567,-40.2336514600936,0.178408059757636,170.60492843169
556333333333.333,0.178636212296671,-165.849606308309,0.617024881608311,-47.9472174415174,0.618056253565803,-42.1868059085969,0.185421537784022,170.634848304455
556666666666.667,0.186281484838644,-166.101292534479,0.614609117777314,-49.5411034826658,0.61636773803809,-43.9092158185033,0.192550303372561,170.917557447927
557000000000,0.197525487117162,-166.596983139159,0.615593039359784,-51.1854841942019,0.61667122983969,-45.6468223515872,0.199284295936412,171.779658785627
557333333333.333,0.213182618790575,-165.673067029737,0.615671152145109,-53.1440626048687,0.616879767772644,-47.5754933536685,0.206710813678961,172.206670400684
557666666666.667,0.226644258356565,-163.548784877571,0.615273023189798,-55.145870789043,0.616231487055302,-49.6240451238452,0.215786880622888,171.840209604254
558000000000,0.232407923667942,-162.014642480829,0.613958826357138,-57.1166859632475,0.61473821915935,-51.7161445886997,0.222958354230603,171.672396287625
558333333333.333,0.236271336665173,-161.006312877427,0.612776077730888,-58.8554647937271,0.613655457698891,-53.5664536834916,0.228045494373978,172.132346994922
558666666666.667,0.241251768756371,-160.929863632564,0.614593840559869,-60.6910348737992,0.615373212119372,-55.3855455462006,0.234909233714682,172.074022238333
559000000000,0.243728774453124,-162.126704486511,0.617327396122067,-62.7906664086387,0.617888034611384,-57.5613625231568,0.24366724955663,171.503753239932
559333333333.333,0.246347682885485,-163.687783180687,0.615771722520957,-65.0934449616093,0.616396082723473,-59.7654521084895,0.253360009912467,171.299979205865
559666666666.667,0.253391204282069,-165.469224626079,0.610352998799059,-67.1537550918074,0.61073639736048,-61.8386972244858,0.261349642177104,170.48696139685
560000000000,0.260554353206855,-166.462578507538,0.605911948412569,-68.9073306903831,0.606705209558086,-63.5101838984936,0.266637909244302,169.271236795572
560333333333.333,0.27080883755142,-166.333107804035,0.606604207312972,-70.2387615978318,0.607529304504954,-65.02741059136,0.275429853168296,169.188370533386
560666666666.667,0.284386897998407,-166.005360692397,0.611177249181158,-72.117829590537,0.61211310323468,-67.0678613524596,0.287339596583993,168.244070581403
561000000000,0.294138439578783,-166.084520434986,0.612399368656386,-74.6100524645712,0.613484387383349,-69.5249965562058,0.290772046983744,166.086000694223
561333333333.333,0.298609322196339,-166.791412493991,0.607295985068047,-76.7077910307319,0.607984076444699,-71.6976685451659,0.286553922857658,165.320995355798
561666666666.667,0.298144594702246,-167.691697038135,0.602444263674496,-78.3020518004856,0.604025526053182,-73.3097856812631,0.291135943514158,165.373663665586
