1_Frequency_Hz,1_EpsilonReal,1_TanDelta,2_Frequency_Hz,2_EpsilonReal,2_TanDelta,3_Frequency_Hz,3_EpsilonReal,3_TanDelta,4_Frequency_Hz,4_EpsilonReal,4_TanDelta,5_Frequency_Hz,5_EpsilonReal,5_TanDelta,6_Frequency_Hz,6_EpsilonReal,6_TanDelta
512333333333.333,2.73042343419434,0.0139287640410299,512333333333.333,2.72646861541398,0.0138045452601578,512333333333.333,2.73125691196541,0.0136289925367381,512333333333.333,2.7166181144735,0.0136687146123574,512333333333.333,2.72123643356514,0.0137381872799315,512333333333.333,2.72062626257046,0.0136605520017911
512666666666.667,2.73040989995784,0.0139331897636811,512666666666.667,2.72645631394814,0.0138088188571677,512666666666.667,2.73124058457801,0.0136339024599132,512666666666.667,2.71661019506121,0.0136738066514588,512666666666.667,2.72122726257318,0.0137427927044248,512666666666.667,2.7206169503117,0.0136653832027595
513000000000,2.73039638286948,0.0139376179817827,513000000000,2.72644402713087,0.0138130950495286,513000000000,2.73122426859169,0.0136388139073094,513000000000,2.71660227857783,0.0136789003601704,513000000000,2.72121809861461,0.0137474004555132,513000000000,2.72060764666878,0.0136702164755402
513333333333.333,2.73038288292926,0.0139420486953345,513333333333.333,2.72643175496218,0.0138173738372403,513333333333.333,2.73120796400646,0.013643726878927,513333333333.333,2.71659436502338,0.0136839957384924,513333333333.333,2.72120894168944,0.0137520105331965,513333333333.333,2.72059835164169,0.0136750518201331
513666666666.667,2.73036940013718,0.0139464819043367,513666666666.667,2.72641949744207,0.013821655220303,513666666666.667,2.73119167082232,0.0136486413747657,513666666666.667,2.71658645439784,0.0136890927864247,513666666666.667,2.72119979179768,0.0137566229374747,513666666666.667,2.72058906523044,0.0136798892365384
514000000000,2.73035593449325,0.0139509176087892,514000000000,2.72640725457053,0.0138259391987166,514000000000,2.73117538903927,0.0136535573948257,514000000000,2.71657854670122,0.0136941915039674,514000000000,2.7211906489393,0.013761237668348,514000000000,2.72057978743503,0.013684728724756
514333333333.333,2.73034248599745,0.0139553558086921,514333333333.333,2.72639502634757,0.0138302257724812,514333333333.333,2.73115911865731,0.0136584749391069,514333333333.333,2.71657064193353,0.0136992918911204,514333333333.333,2.72118151311433,0.0137658547258162,514333333333.333,2.72057051825546,0.0136895702847858
514666666666.667,2.73032905464979,0.0139597965040453,514666666666.667,2.72638281277318,0.0138345149415967,514666666666.667,2.73114285967643,0.0136633940076094,514666666666.667,2.71656274009475,0.0137043939478837,514666666666.667,2.72117238432275,0.0137704741098793,514666666666.667,2.72056125769173,0.0136944139166279
515000000000,2.73031564045027,0.0139642396948488,515000000000,2.72637061384737,0.0138388067060631,515000000000,2.73112661209665,0.0136683146003331,515000000000,2.71655484118489,0.0137094976742573,515000000000,2.72116326256457,0.0137750958205375,515000000000,2.72055200574384,0.0136992596202823
515333333333.333,2.7303022433989,0.0139686853811026,515333333333.333,2.72635842957014,0.0138431010658805,515333333333.333,2.73111037591794,0.013673236717278,515333333333.333,2.71654694520395,0.0137146030702413,515333333333.333,2.72115414783979,0.0137797198577906,515333333333.333,2.72054276241178,0.013704107395749
515666666666.667,2.73028886349566,0.0139731335628068,515666666666.667,2.72634625994148,0.0138473980210488,515666666666.667,2.73109415114033,0.0136781603584442,515666666666.667,2.71653905215193,0.0137197101358356,515666666666.667,2.7211450401484,0.0137843462216386,515666666666.667,2.72053352769557,0.013708957243028
516000000000,2.73027550074057,0.0139775842399613,516000000000,2.7263341049614,0.013851697571568,516000000000,2.73107793776381,0.0136830855238316,516000000000,2.71653116202882,0.0137248188710403,516000000000,2.72113593949041,0.0137889749120817,516000000000,2.72052430159519,0.0137138091621193
516333333333.333,2.73026215513362,0.0139820374125661,516333333333.333,2.72632196462989,0.0138559997174381,516333333333.333,2.73106173578837,0.0136880122134403,516333333333.333,2.71652327483464,0.0137299292758552,516333333333.333,2.72112684586582,0.0137936059291197,516333333333.333,2.72051508411065,0.0137186631530229
516666666666.667,2.7302488266748,0.0139864930806213,516666666666.667,2.72630983894697,0.0138603044586592,516666666666.667,2.73104554521403,0.0136929404272702,516666666666.667,2.71651539056938,0.0137350413502805,516666666666.667,2.72111775927463,0.0137982392727527,516666666666.667,2.72050587524195,0.0137235192157387
517000000000,2.73023551536414,0.0139909512441268,517000000000,2.72629772791261,0.0138646117952312,517000000000,2.73102936604076,0.0136978701653213,517000000000,2.71650750923303,0.0137401550943162,517000000000,2.72110867971683,0.0138028749429806,517000000000,2.72049667498909,0.0137283773502669
517333333333.333,2.7302222212016,0.0139954119030826,517333333333.333,2.72628563152684,0.0138689217271542,517333333333.333,2.73101319826859,0.0137028014275937,517333333333.333,2.71649963082561,0.0137452705079621,517333333333.333,2.72109960719243,0.0138075129398035,517333333333.333,2.72048748335206,0.0137332375566073
517666666666.667,2.73020894418722,0.0139998750574888,517666666666.667,2.72627354978964,0.0138732342544281,517666666666.667,2.73099704189751,0.0137077342140873,517666666666.667,2.7164917553471,0.0137503875912184,517666666666.667,2.72109054170143,0.0138121532632214,517666666666.667,2.72047830033088,0.0137380998347601
518000000000,2.73019568432097,0.0140043407073452,518000000000,2.72626148270101,0.0138775493770529,518000000000,2.73098089692751,0.0137126685248021,518000000000,2.71648388279751,0.013755506344085,518000000000,2.72108148324382,0.0138167959132342,518000000000,2.72046912592553,0.0137429641847251
518333333333.333,2.73018244160286,0.014008808852652,518333333333.333,2.72624943026096,0.0138818670950286,518333333333.333,2.7309647633586,0.0137176043597382,518333333333.333,2.71647601317685,0.013760626766562,518333333333.333,2.72107243181962,0.013821440889842,518333333333.333,2.72045996013602,0.0137478306065024
518666666666.667,2.73016921603289,0.0140132794934092,518666666666.667,2.72623739246949,0.0138861874083553,518666666666.667,2.73094864119078,0.0137225417188955,518666666666.667,2.7164681464851,0.0137657488586493,518666666666.667,2.72106338742881,0.0138260881930448,518666666666.667,2.72045080296236,0.013752699100092
519000000000,2.73015600761106,0.0140177526296167,519000000000,2.72622536932659,0.0138905103170329,519000000000,2.73093253042405,0.0137274806022741,519000000000,2.71646028272227,0.0137708726203469,519000000000,2.72105435007139,0.0138307378228425,519000000000,2.72044165440452,0.0137575696654939
519333333333.333,2.73014281633738,0.0140222282612745,519333333333.333,2.72621336083227,0.0138948358210614,519333333333.333,2.7309164310584,0.0137324210098739,519333333333.333,2.71645242188836,0.0137759980516548,519333333333.333,2.72104531974738,0.0138353897792352,519333333333.333,2.72043251446253,0.013762442302708
519666666666.667,2.73012964221183,0.0140267063883826,519666666666.667,2.72620136698653,0.0138991639204409,519666666666.667,2.73090034309385,0.0137373629416949,519666666666.667,2.71644456398337,0.0137811251525731,519666666666.667,2.72103629645676,0.0138400440622229,519666666666.667,2.72042338313638,0.0137673170117345
520000000000,2.73011648523443,0.0140311870109411,520000000000,2.72618938778936,0.0139034946151713,520000000000,2.73088426653038,0.0137423063977372,520000000000,2.71643670900729,0.0137862539231017,520000000000,2.72102728019954,0.0138447006718055,520000000000,2.72041426042606,0.0137721937925732
520333333333.333,2.73010334540517,0.0140356701289498,520333333333.333,2.72617742324077,0.0139078279052527,520333333333.333,2.730868201368,0.0137472513780007,520333333333.333,2.71642885696014,0.0137913843632407,520333333333.333,2.72101827097571,0.0138493596079831,520333333333.333,2.72040514633159,0.0137770726452243
520666666666.667,2.73009022272404,0.014040155742409,520666666666.667,2.72616547334075,0.0139121637906849,520666666666.667,2.73085214760671,0.0137521978824855,520666666666.667,2.71642100784191,0.0137965164729899,520666666666.667,2.72100926878529,0.0138540208707557,520666666666.667,2.72039604085295,0.0137819535696876
521000000000,2.73007711719106,0.0140446438513184,521000000000,2.72615353808931,0.0139165022714681,521000000000,2.7308361052465,0.0137571459111915,521000000000,2.71641316165259,0.0138016502523496,521000000000,2.72100027362825,0.0138586844601232,521000000000,2.72038694399015,0.0137868365659632
521333333333.333,2.73006402880622,0.0140491344556782,521333333333.333,2.72614161748645,0.0139208433476023,521333333333.333,2.73082007428739,0.0137620954641187,521333333333.333,2.7164053183922,0.0138067857013195,521333333333.333,2.72099128550462,0.0138633503760857,521333333333.333,2.72037785574319,0.0137917216340511
521666666666.667,2.73005095756952,0.0140536275554883,521666666666.667,2.72612971153216,0.0139251870190873,521666666666.667,2.73080405472936,0.0137670465412671,521666666666.667,2.71639747806072,0.0138119228198998,521666666666.667,2.72098230441439,0.0138680186186432,521666666666.667,2.72036877611207,0.0137966087739513
522000000000,2.73003790348096,0.0140581231507488,522000000000,2.72611782022645,0.0139295332859233,522000000000,2.73078804657242,0.0137719991426368,522000000000,2.71638964065816,0.0138170616080904,522000000000,2.72097333035755,0.0138726891877956,522000000000,2.72035970509679,0.0138014979856638
522333333333.333,2.73002486654054,0.0140626212414595,522333333333.333,2.72610594356932,0.0139338821481103,522333333333.333,2.73077204981656,0.0137769532682278,522333333333.333,2.71638180618453,0.0138222020658913,522333333333.333,2.72096436333411,0.013877362083543,522333333333.333,2.72035064269735,0.0138063892691886
522666666666.667,2.73001184674826,0.0140671218276206,522666666666.667,2.72609408156076,0.0139382336056481,522666666666.667,2.7307560644618,0.01378190891804,522666666666.667,2.71637397463981,0.0138273441933025,522666666666.667,2.72095540334406,0.0138820373058854,522666666666.667,2.72034158891374,0.0138112826245257
523000000000,2.72999884410412,0.0140716249092321,523000000000,2.72608223420077,0.0139425876585369,523000000000,2.73074009050812,0.0137868660920734,523000000000,2.71636614602401,0.0138324879903241,523000000000,2.72094645038742,0.0138867148548227,523000000000,2.72033254374597,0.013816178051675
523333333333.333,2.72998585860813,0.0140761304862938,523333333333.333,2.72607040148937,0.0139469443067767,523333333333.333,2.73072412795553,0.013791824790328,523333333333.333,2.71635832033713,0.0138376334569561,523333333333.333,2.72093750446417,0.013891394730355,523333333333.333,2.72032350719405,0.0138210755506366
