sample_signal_time	sample_signal_y	reference_signal_time	reference_signal_y	fft_sample	fft_reference	fft_freq	measured_H	fft_freq_masked	measured_H_masked	magH	phaseH	magH_masked	phaseH_masked	freq_mask_boolean	dynamic_range_db	alpha_max
 (1.562500000000000000e+00+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (1.562500000000000000e+00+0.000000000000000000e+00j)	 (-1.000000000000000021e-03+0.000000000000000000e+00j)	 (8.464624135832136574e-05-3.271636715746868707e-02j)	 (1.151768023004413194e-02+2.718497141052635818e-02j)	 (6.262230919765166473e+10+0.000000000000000000e+00j)	 (-1.019203097642735534e+00-4.349278662437581766e-01j)	 (3.632093933463796387e+11+0.000000000000000000e+00j)	 (-5.463363423266798247e-01-5.693599520421901428e-01j)	 (8.917615747841743934e-01+0.000000000000000000e+00j)	 (3.741850928168109824e+00+0.000000000000000000e+00j)	 (-2.057531102308111759e+00+0.000000000000000000e+00j)	 (-1.470501149057798962e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.940356896455686808e+01+0.000000000000000000e+00j)	 (2.230550952043856228e+01+0.000000000000000000e+00j)
 (1.718699999999999894e+00+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (1.718699999999999894e+00+0.000000000000000000e+00j)	 (-1.000000000000000021e-03+0.000000000000000000e+00j)	 (-2.414933370862696119e-02+4.192164771536974893e-02j)	 (1.933573946721418857e-02-5.086944801353797396e-02j)	 (6.888454011741682434e+10+0.000000000000000000e+00j)	 (-8.777354352658566228e-01-1.410998210413902665e-01j)	 (3.694716242661448364e+11+0.000000000000000000e+00j)	 (-6.991563460045621126e-01-3.944331618949945550e-01j)	 (-1.021922721794650046e+00+0.000000000000000000e+00j)	 (3.497903836935568833e+00+0.000000000000000000e+00j)	 (-1.908464123646022692e+00+0.000000000000000000e+00j)	 (-1.499739636842068258e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.471522231180163942e+01+0.000000000000000000e+00j)	 (2.641248962437991565e+01+0.000000000000000000e+00j)
 (1.875000000000000000e+00+0.000000000000000000e+00j)	 (4.000000000000000192e-04+0.000000000000000000e+00j)	 (1.875000000000000000e+00+0.000000000000000000e+00j)	 (-8.999999999999999754e-04+0.000000000000000000e+00j)	 (2.324244531930768146e-02-1.425160762419030308e-02j)	 (-2.724229455500950733e-02+1.834842153224294087e-02j)	 (7.514677103718199158e+10+0.000000000000000000e+00j)	 (-8.293159870644215559e-01-3.542402377109535316e-02j)	 (3.757338551859099731e+11+0.000000000000000000e+00j)	 (-7.383461211605438779e-01-1.615381481431414634e-01j)	 (-1.617682550475300962e+00+0.000000000000000000e+00j)	 (3.381201904038741990e+00+0.000000000000000000e+00j)	 (-2.431741153983602466e+00+0.000000000000000000e+00j)	 (-1.529565288839144266e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.032943830389366724e+01+0.000000000000000000e+00j)	 (2.305208277399306382e+01+0.000000000000000000e+00j)
 (2.031200000000000117e+00+0.000000000000000000e+00j)	 (4.000000000000000192e-04+0.000000000000000000e+00j)	 (2.031200000000000117e+00+0.000000000000000000e+00j)	 (-6.999999999999999929e-04+0.000000000000000000e+00j)	 (7.999649155018308255e-03+1.289000923503187852e-02j)	 (-8.119578404373275007e-03-1.917054056963280947e-02j)	 (8.140900195694715881e+10+0.000000000000000000e+00j)	 (-7.199710557435817782e-01+1.123488255954875475e-01j)	 (3.819960861056751709e+11+0.000000000000000000e+00j)	 (-7.343806199501997645e-01+4.870375131861928199e-04j)	 (-2.749213626739897443e+00+0.000000000000000000e+00j)	 (3.183715206750838966e+00+0.000000000000000000e+00j)	 (-2.681573940579935478e+00+0.000000000000000000e+00j)	 (-1.551170601080118239e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.636926161315678030e+01+0.000000000000000000e+00j)	 (2.000034753468590054e+01+0.000000000000000000e+00j)
 (2.187500000000000000e+00+0.000000000000000000e+00j)	 (2.999999999999999737e-04+0.000000000000000000e+00j)	 (2.187500000000000000e+00+0.000000000000000000e+00j)	 (-6.999999999999999929e-04+0.000000000000000000e+00j)	 (-3.144445181186265696e-03-1.957291079494704114e-02j)	 (-1.476423438201028776e-03+2.147537483084183477e-02j)	 (8.767123287671232605e+10+0.000000000000000000e+00j)	 (-8.971052776604556689e-01+2.080965978409803074e-01j)	 (3.882583170254403076e+11+0.000000000000000000e+00j)	 (-7.158206260665008758e-01+1.554037461587842173e-01j)	 (-7.155187512915268666e-01+0.000000000000000000e+00j)	 (3.110579699009466736e+00+0.000000000000000000e+00j)	 (-2.703902111535058772e+00+0.000000000000000000e+00j)	 (-1.572482410746489201e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.665929365816478480e+01+0.000000000000000000e+00j)	 (2.025359005546399871e+01+0.000000000000000000e+00j)
 (2.343700000000000117e+00+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (2.343700000000000117e+00+0.000000000000000000e+00j)	 (-5.999999999999999474e-04+0.000000000000000000e+00j)	 (6.170245932019704019e-03+1.842182409056666728e-03j)	 (-7.634658048233987880e-03-3.528198561662992342e-03j)	 (9.393346379647749329e+10+0.000000000000000000e+00j)	 (-7.578483397027695467e-01+1.089317960001766200e-01j)	 (3.945205479452055054e+11+0.000000000000000000e+00j)	 (-6.888407681919977987e-01+3.598412204533165681e-01j)	 (-2.319540064825326819e+00+0.000000000000000000e+00j)	 (-3.087432636922210705e+00+0.000000000000000000e+00j)	 (-2.189721875112988325e+00+0.000000000000000000e+00j)	 (-1.599243893158876695e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (1.849641655523242179e+01+0.000000000000000000e+00j)	 (1.399540864931205775e+01+0.000000000000000000e+00j)
 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (2.500000000000000000e+00+0.000000000000000000e+00j)	 (-4.000000000000000192e-04+0.000000000000000000e+00j)	 (-4.541099301951574685e-03-1.383252047655520768e-02j)	 (-1.039650930256479436e-02+6.143345363572294375e-03j)	 (1.001956947162426605e+11+0.000000000000000000e+00j)	 (-2.589786874716864529e-01+1.177464916478459633e+00j)	 (4.007827788649706421e+11+0.000000000000000000e+00j)	 (-5.446794062472664066e-01+5.328565889834375735e-01j)	 (1.624131208746682820e+00+0.000000000000000000e+00j)	 (-4.298969740007288820e+00+0.000000000000000000e+00j)	 (-2.361141420688818826e+00+0.000000000000000000e+00j)	 (-1.628546933393812424e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.163841211239837037e+01+0.000000000000000000e+00j)	 (1.626743174294280436e+01+0.000000000000000000e+00j)
 (2.656200000000000117e+00+0.000000000000000000e+00j)	 (2.999999999999999737e-04+0.000000000000000000e+00j)	 (2.656200000000000117e+00+0.000000000000000000e+00j)	 (-1.000000000000000048e-04+0.000000000000000000e+00j)	 (-2.219479900335134467e-02-5.988900956072429685e-03j)	 (4.476652728023095169e-03+3.119358098632715737e-02j)	 (1.064579256360078278e+11+0.000000000000000000e+00j)	 (-2.881678204841446878e-01+6.701626130329684239e-01j)	 (4.070450097847357788e+11+0.000000000000000000e+00j)	 (-3.591591095543451018e-01+6.486075709548034807e-01j)	 (-2.739588981300895565e+00+0.000000000000000000e+00j)	 (-4.109373118590152529e+00+0.000000000000000000e+00j)	 (-2.598844967068181244e+00+0.000000000000000000e+00j)	 (-1.657613006526602817e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.996984198128359722e+01+0.000000000000000000e+00j)	 (2.277446282724259063e+01+0.000000000000000000e+00j)
 (2.812500000000000000e+00+0.000000000000000000e+00j)	 (1.000000000000000048e-04+0.000000000000000000e+00j)	 (2.812500000000000000e+00+0.000000000000000000e+00j)	 (4.000000000000000192e-04+0.000000000000000000e+00j)	 (-1.409684604921169516e-02+2.554507549101255048e-02j)	 (2.527858420343361348e-02+1.239142744398373346e-02j)	 (1.127201565557729950e+11+0.000000000000000000e+00j)	 (-5.022792847113046605e-02+1.035163639376995404e+00j)	 (4.133072407045009766e+11+0.000000000000000000e+00j)	 (-2.116283634449180884e-01+6.708878337181305440e-01j)	 (3.103930053939470968e-01+0.000000000000000000e+00j)	 (-4.466984825936275882e+00+0.000000000000000000e+00j)	 (-3.055026865070586517e+00+0.000000000000000000e+00j)	 (-1.677627333474882931e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (2.899029022977126857e+01+0.000000000000000000e+00j)	 (2.200130431281591825e+01+0.000000000000000000e+00j)
 (2.968700000000000117e+00+0.000000000000000000e+00j)	 (5.000000000000000104e-04+0.000000000000000000e+00j)	 (2.968700000000000117e+00+0.000000000000000000e+00j)	 (8.000000000000000383e-04+0.000000000000000000e+00j)	 (1.958229624542810396e-02+1.966863398977973867e-02j)	 (2.742497921247105674e-02-2.148858462463246882e-02j)	 (1.189823874755381622e+11+0.000000000000000000e+00j)	 (9.423677511507617954e-02+7.910178796681707203e-01j)	 (4.195694716242661133e+11+0.000000000000000000e+00j)	 (-4.393836971154056054e-02+7.205645183054747438e-01j)	 (-1.975068746116971363e+00+0.000000000000000000e+00j)	 (-4.634043225544701272e+00+0.000000000000000000e+00j)	 (-2.830424201502679260e+00+0.000000000000000000e+00j)	 (-1.702093684826115805e+01+0.000000000000000000e+00j)	 (0.000000000000000000e+00+0.000000000000000000e+00j)	 (3.084178887934635327e+01+0.000000000000000000e+00j)	 (2.344282491256810275e+01+0.000000000000000000e+00j)
