Freq_Hz,S11_mag,S11_phase,S21_mag,S21_phase,S12_mag,S12_phase,S22_mag,S22_phase
67450000000,0.233145580737509,-130.641160213846,0.933580279280951,-46.8512200421157,0.934165754508365,-47.4204576668763,0.228709688373571,-148.118959742541
67500000000,0.309784455060152,-113.927954530833,0.851476832188411,-42.2243648600788,0.852024361628197,-42.0383034760343,0.290050157269705,-125.059557406262
67550000000,0.351161848479023,-130.014334613409,1.00801433591087,-41.3882490440101,1.00860771453643,-41.2911763028435,0.346438920385658,-141.049026982399
67600000000,0.280361327608376,-126.726878615475,0.895608798831648,-47.130191815514,0.896195928997995,-47.1905445521884,0.275951714744131,-139.951907787995
67650000000,0.337655520055105,-127.12945826928,0.924735980543616,-40.6572001870031,0.925275491597993,-40.3873964567652,0.352605867866105,-138.199491807189
67700000000,0.354065168169544,-137.825849453384,1.04559173882238,-46.2322258863572,1.0459307946655,-46.439628835859,0.328088553020358,-155.752606503197
67750000000,0.302585010667972,-136.75184946616,0.95348315874588,-48.4856717725768,0.953966166651278,-48.4375434788622,0.298988223396342,-148.360342835037
67800000000,0.298043725107629,-135.00682161698,0.937597814439636,-47.9047049770713,0.937664180322844,-47.8636281225981,0.30033943078184,-147.666740639624
67850000000,0.294163806017404,-133.053984819437,0.941546678582002,-47.7889160065565,0.9418074299748,-48.123069549988,0.29369814837569,-146.488535874016
67900000000,0.295050337138531,-140.540044300961,0.934885792466583,-47.9660632404447,0.935246588238738,-48.4884378525037,0.30823761822345,-153.584525884697
67950000000,0.27719170837727,-129.945979616232,0.937036682379959,-49.1840017364497,0.937377958300544,-49.0322373319262,0.274633846259842,-145.345937041623
68000000000,0.304177612286101,-129.199232285019,0.917936862336097,-50.5358357123412,0.918075250032547,-50.3974099467157,0.295166953688317,-142.79452958175
68050000000,0.347908618076358,-129.550600162981,0.871955905433755,-50.7333270648152,0.872052027221037,-50.8630420768386,0.337764005341647,-139.833932622881
68100000000,0.350443049465012,-140.015208919579,0.837098554450023,-47.4496464738446,0.837185978441358,-48.0017001026715,0.366552955742013,-148.831268473713
68150000000,0.281535931448087,-133.713653775182,0.925190645299202,-42.2136232634377,0.925215977099396,-42.9017484141646,0.312243257013125,-152.373233464252
68200000000,0.302099680556165,-135.467658150381,0.938157129741124,-46.9951542638677,0.938364923431449,-46.6508084947471,0.303613321434911,-150.289438112261
68250000000,0.307186584035,-132.01188802487,0.938508880385264,-46.8109618582927,0.938708862697423,-46.6171191021932,0.308596175874969,-147.113926231535
68300000000,0.314732280412546,-129.845601670818,0.968714936656281,-45.7299286139703,0.968888910142378,-45.7877170011841,0.312728144902911,-145.435256772573
68350000000,0.355414273333631,-132.978205812722,1.04515920832173,-52.6664965892867,1.04527897744929,-53.5408743048895,0.343624650311574,-147.509015670966
68400000000,0.329339641595561,-133.736614241495,0.941793435359601,-54.1583941510326,0.941885888578131,-53.7357665593337,0.319427266501782,-147.92387017635
68450000000,0.343780368394987,-134.490030859809,0.913762467486808,-52.7453999140766,0.914064691802496,-52.9554599987806,0.334600212479941,-147.345592813378
68500000000,0.35813688257266,-135.902978559935,0.9246294038734,-52.5540652959597,0.925048923773356,-52.6110996695415,0.35431691979571,-148.405854927182
68550000000,0.360672298365148,-139.078670383676,0.910994762078966,-53.165863509331,0.911242252213512,-53.3040480182006,0.359719941766132,-151.496827033097
68600000000,0.339984893199938,-142.416158628173,0.893229429086816,-53.1811483270368,0.893432166540113,-53.8948323599047,0.345045570757314,-156.084016420778
68650000000,0.346137160990733,-143.803151971458,0.853810115895068,-51.800898218159,0.854068877673003,-51.4854362031961,0.346052995742397,-155.75636945051
68700000000,0.318133840707973,-141.121445344792,0.899490807670564,-50.0396916818389,0.899636179383909,-49.576431557163,0.329155433841387,-153.861589415068
68750000000,0.317067473137815,-142.758457052165,0.917424040087166,-50.3330286875698,0.917527568976126,-50.6653637805258,0.331448806511544,-156.466649942799
68800000000,0.305680699772422,-142.07270772292,0.926728588904532,-50.9412803914978,0.92688790422531,-51.4952300055071,0.319975734437348,-156.946876293152
68850000000,0.278956170419378,-136.899862571696,0.942035447112159,-51.608072522918,0.941960295666366,-52.1324709293537,0.286260604178856,-155.082238406831
68900000000,0.291209173998681,-128.997008071636,0.971212081494448,-56.8293614322096,0.971306910883669,-56.7747210038146,0.269988086709918,-149.000794392109
68950000000,0.356465564178826,-120.281777947448,0.825082592503602,-55.1379198975711,0.824857514233356,-55.1777013922716,0.313365536794537,-130.083582111911
69000000000,0.410270199933983,-130.03524499701,0.879588112823482,-48.2385853755805,0.879603721112064,-48.26037980263,0.413618616675979,-138.348947086737
69050000000,0.46417786339241,-135.256151898328,1.02567567458053,-49.7100051431234,1.02592606540002,-49.2419246502684,0.4776273304255,-153.410836326399
69100000000,0.387784197274257,-149.248360083129,0.963550522842722,-56.759641099681,0.963671579825697,-56.6503966042152,0.388067733177967,-159.857685202894
69150000000,0.346408117258389,-145.919179395129,0.938074918349517,-56.4253763371426,0.938221831609281,-56.871862180798,0.358090682077592,-159.398593194909
69200000000,0.351995790258802,-143.432642581385,0.918506035962468,-56.5607886534655,0.918397698857082,-56.6928287145111,0.355862263584253,-157.31823282948
69250000000,0.344139394900172,-143.047232439121,0.915697988738883,-56.2139116886538,0.915364093716038,-56.4722627333321,0.347012347119753,-157.218331139478
69300000000,0.369127726422294,-142.684333808215,0.913551375195719,-56.1841325744488,0.913104332244121,-56.9967605011649,0.370127880847939,-155.308938459215
